Pincode,State Code,District,Prepaid,Reverse Pickup,REPL,COD,Cash
629253,TN,Kanyakumari,Y,Y,Y,Y,Y
625125,TN,Dindigul,Y,Y,Y,Y,Y
533286,AP,East Godavari,Y,Y,Y,Y,Y
670325,KL,Kannur,Y,Y,Y,Y,Y
606806,TN,Tiruvannamalai,Y,Y,Y,Y,Y
509132,TS,Mahabub Nagar,Y,Y,Y,Y,Y
415619,MH,Ratnagiri,Y,Y,Y,Y,Y
625604,TN,Theni,Y,Y,Y,Y,Y
600082,TN,Chennai,Y,Y,Y,Y,Y
362140,GJ,Junagadh,Y,Y,N,Y,N
121007,HR,Faridabad,Y,Y,Y,Y,Y
626143,TN,Virudhunagar,Y,Y,Y,Y,Y
635802,TN,Vellore,Y,Y,Y,Y,Y
627602,TN,Tirunelveli,Y,Y,Y,Y,Y
628703,TN,Tuticorin,Y,Y,Y,Y,Y
600114,TN,Kanchipuram,Y,Y,Y,Y,Y
574219,KA,Dakshina Kannada,Y,Y,Y,Y,Y
171010,HP,Shimla,Y,Y,Y,Y,Y
284129,UP,Jhansi,Y,Y,Y,Y,Y
175131,HP,Kullu,Y,Y,Y,Y,Y
176022,HP,Kangra,Y,Y,N,Y,N
125133,HR,Fatehabad,Y,Y,N,Y,N
688530,KL,Alappuzha,Y,Y,Y,Y,Y
143104,PB,Amritsar,Y,Y,Y,Y,Y
182124,JK,Udhampur,Y,Y,Y,Y,Y
802208,BR,Bhojpur,Y,Y,Y,Y,Y
670005,KL,Kannur,Y,Y,Y,Y,Y
521331,AP,Krishna,Y,Y,Y,Y,Y
144020,PB,Jalandhar,Y,Y,Y,Y,Y
783330,AS,Dhubri,Y,Y,Y,Y,Y
400032,MH,Mumbai,Y,Y,Y,Y,Y
303803,RJ,Jaipur,Y,Y,Y,Y,Y
321023,RJ,Bharatpur,Y,Y,N,Y,N
811212,BR,Munger,Y,Y,Y,Y,Y
387630,GJ,Kheda,Y,Y,Y,Y,Y
821306,BR,Rohtas,Y,Y,Y,Y,Y
686665,KL,Ernakulam,Y,Y,N,Y,N
686663,KL,Ernakulam,Y,Y,N,Y,N
784002,AS,Tezpur,Y,Y,Y,Y,Y
803205,BR,Patna,Y,Y,Y,Y,Y
731213,WB,Birbhum,Y,Y,Y,Y,Y
803122,BR,Nalanda,Y,Y,Y,Y,Y
676509,KL,Malappuram,Y,Y,Y,Y,Y
695311,KL,Thiruvananthapuram,Y,Y,Y,Y,Y
785632,AS,Jorhat,Y,Y,Y,Y,Y
534240,AP,Bhimavaram,Y,Y,Y,Y,Y
583135,KA,Bellary,Y,Y,N,Y,N
394530,GJ,Surat,Y,Y,Y,Y,Y
524142,AP,Nellore,Y,Y,Y,Y,Y
470673,MP,Damoh,Y,Y,Y,Y,Y
764088,OR,Nabarangapur,Y,Y,N,Y,N
673006,KL,Kozhikode,Y,Y,Y,Y,Y
496338,CG,Jashpur,Y,Y,Y,Y,Y
841219,BR,Saran,Y,Y,Y,Y,Y
603401,TN,Kanchipuram,Y,Y,N,Y,N
642122,TN,Coimbatore,Y,Y,Y,Y,Y
643218,TN,Nilgiris,Y,Y,Y,Y,Y
643231,TN,Nilgiris,Y,Y,Y,Y,Y
632013,TN,Vellore,Y,Y,Y,Y,Y
614019,TN,Tiruvarur,Y,Y,Y,Y,Y
641301,TN,Coimbatore,Y,Y,Y,Y,Y
476554,MP,Morena,Y,Y,Y,Y,Y
689111,KL,Pathanamthitta,Y,Y,Y,Y,Y
515133,AP,Ananthapur,Y,Y,Y,Y,Y
741235,WB,Hoogly,Y,Y,N,Y,N
854102,BR,Purnia,Y,Y,Y,Y,Y
416146,MH,Kolhapur,Y,Y,Y,Y,Y
516128,AP,Cuddapah,Y,Y,Y,Y,Y
360311,GJ,Rajkot,Y,Y,N,Y,N
678018,KL,Palakkad,Y,Y,Y,Y,Y
534211,AP,West Godavari,Y,Y,Y,Y,Y
847303,BR,Madhubani,Y,Y,Y,Y,Y
713377,WB,Bardhaman,Y,Y,Y,Y,Y
695014,KL,Trivandrum,Y,Y,Y,Y,Y
273002,UP,Gorakhpur,Y,Y,Y,Y,Y
689504,KL,ALAPPUZHA,Y,Y,Y,Y,Y
721432,WB,East Midnapore,Y,Y,Y,Y,Y
400042,MH,Mumbai,Y,Y,Y,Y,Y
734010,WB,Darjiling,Y,Y,Y,Y,Y
303103,RJ,Jaipur,Y,Y,N,Y,N
440024,MH,Nagpur,Y,Y,Y,Y,Y
281305,UP,Mathura,Y,Y,Y,Y,Y
690101,KL,Alappuzha,Y,Y,Y,Y,Y
422109,MH,Nashik,Y,Y,Y,Y,Y
360011,GJ,Rajkot,Y,Y,Y,Y,Y
835221,JH,Ranchi,Y,Y,N,Y,N
560093,KA,Bangalore,Y,Y,Y,Y,Y
230405,UP,Pratapgarh,Y,Y,Y,Y,Y
152124,PB,Firozpur,Y,Y,Y,Y,Y
230133,UP,Pratapgarh,Y,Y,Y,Y,Y
362002,GJ,Junagadh,Y,Y,Y,Y,Y
415209,MH,Satara,Y,Y,Y,Y,Y
682006,KL,Cochin,Y,Y,Y,Y,Y
560105,KA,Bangalore,Y,Y,Y,Y,Y
680611,KL,Thrissur,Y,Y,Y,Y,Y
689612,KL,Pathanamthitta,Y,Y,Y,Y,Y
784163,AR,Lakhimpur,Y,Y,Y,Y,Y
577303,KA,Chickmagalur,Y,Y,Y,Y,Y
577428,KA,Shimoga,Y,Y,N,Y,N
670741,KL,Kannur,Y,Y,Y,Y,Y
843312,BR,Muzaffarpur,Y,Y,Y,Y,Y
606803,TN,Tiruvannamalai,Y,Y,Y,Y,Y
679103,KL,Palakkad,Y,Y,Y,Y,Y
604601,TN,Tiruvannamalai,Y,Y,Y,Y,Y
533217,AP,East Godavari,Y,Y,Y,Y,Y
571427,KA,Mandya,Y,Y,Y,Y,Y
452020,MP,Indore,Y,Y,Y,Y,Y
574113,KA,Udupi,Y,Y,N,Y,N
574212,KA,Dakshina Kannada,Y,Y,Y,Y,Y
622402,TN,Pudukkottai,Y,Y,Y,Y,Y
680510,KL,Thrissur,Y,Y,Y,Y,Y
495220,CG,Bilaspur,Y,Y,Y,Y,Y
700124,WB,North 24 Parganas,Y,Y,Y,Y,Y
487221,MP,Narsinghpur,Y,Y,N,Y,N
678575,KL,Palakkad,Y,Y,Y,Y,Y
484771,MP,Shahdol,Y,Y,N,Y,N
415010,MH,Satara,Y,Y,Y,Y,Y
635113,TN,Krishnagiri,Y,Y,Y,Y,Y
621703,TN,Lalgudi,Y,Y,Y,Y,Y
614206,TN,Thanjavur,Y,Y,Y,Y,Y
600078,TN,Chennai,Y,Y,Y,Y,Y
322215,RJ,Sawai Madhopur,Y,Y,N,Y,N
276405,UP,Mau,Y,Y,Y,Y,Y
122219,HR,Delhi NCR,Y,Y,Y,Y,Y
181206,JK,Jammu,Y,Y,Y,Y,Y
736182,WB,Jalpaiguri,Y,Y,Y,Y,Y
444306,MH,Buldhana,Y,Y,N,Y,N
443303,MH,Buldhana,Y,Y,N,Y,N
523184,AP,Prakasam,Y,Y,Y,Y,Y
203394,UP,BULANDSHAHR,Y,Y,Y,Y,Y
400105,MH,Mumbai,Y,Y,Y,Y,Y
380005,GJ,Ahmedabad,Y,Y,Y,Y,Y
